Категория,Компонент,Модель/Тип,Кол-во,Примерная цена USD,Примечание
Вычислительное ядро,ESP32-S3 dev board,ESP32-S3-DevKitC-1 (N8 или N16R8),1,15,См. hardware/platforms.md - прототип/референс
Вычислительное ядро,ESP32-S3 модуль (финальная плата),ESP32-S3-WROOM-1,1,4,Для кастомной PCB серийного изделия
Батарея,LiFePO4 48V 30Ah,16S LiFePO4 pack с BMS,1,700,"~1536Wh, обеспечивает 20-30 сварок"
Батарея,Разъем силовой,XT90-S (с гашением дуги),2,8,Комплект розетка+вилка
Инвертор,DC-AC инвертор 48V->220V,3кВт чистая синусоида с PLL,1,250,Например Victron MultiPlus или аналог
Трансформатор,Тороидальный трансформатор,3кВА 220V/2x20V,1,60,"Понижающий, для выпрямления до ~56В"
Выпрямитель,Диодный мост,4x MUR820 (25A),4,2,Итого ~8 USD за комплект
Выпрямитель,Конденсатор фильтра,4700мкФ 63В,2,5,Сглаживание выпрямленного напряжения
Силовая коммутация,Симистор,BTA16-600B (16A 600V),1,3,На радиаторе
Силовая коммутация,Радиатор,Алюминиевый 500см² с ребрами,1,15,Активное охлаждение микрокулером
Силовая коммутация,Микрокулер,48мм 5В ШИМ-управляемый,1,4,Для охлаждения радиатора симистора
Силовая коммутация,Драйвер симистора,MOC3083 (оптрон),1,1,Гальваническая развязка
Силовая коммутация,Снаббер RC,R=100 Ом + C=1мкФ,1,1,Гашение индуктивных выбросов
Сенсорика,Датчик тока,ACS758LCB-150B (Холл),1,10,"До 150А (запас над лимитом КЗ 120А), гальванически развязан. Ранее в BOM был указан ACS758LCB-050B (до 50А) — насыщался бы задолго до порога короткого замыкания 120А; исправлено"
Сенсорика,Делитель напряжения,Резисторы прецизионные 0.1%,4,2,Для измерения U вторичной обмотки
Сенсорика,Температурный датчик,DS18B20,3,6,Радиатор + окружающая среда + запас (3шт x 2 USD)
Сенсорика,Zero-Cross компаратор,LM393,1,1,Детектор перехода через ноль
Интерфейс,TFT дисплей,2.4 SPI TFT 280x320,1,12,С поликарбонатным стеклом IP54
Интерфейс,Сканер штрих-кода,USB сканер-карандаш,1,25,Или через ESP32-S3-USB-OTG нативно
Интерфейс,Кнопки герметичные,Мембранные IP65,4,8,START/STOP/MENU UP/DOWN
Интерфейс,Зуммер,Пьезоэлемент 85dB,1,2,Звуковая индикация
Логирование,MicroSD слот,SPI microSD карта,1,3,Плюс карта 32ГБ ~5 USD
Логирование,RTC модуль,DS3231 с батарейкой CR2032,1,4,Часы реального времени
Корпус,Корпус ABS+PC,IP54 портативный,1,40,С учетом крепления батареи
Корпус,Сварочные кабели,"Медь класс 6, 10мм² с наконечниками 4мм",2,35,Комплект + и -
Разное,Предохранители,aR быстродействующие,3,3,Защита от сверхтоков
Разное,Крепеж,Нержавеющая сталь A2,1,5,Винты для влажных условий
